
=== [GF2] 캐릭터1 추천 시간대 ===
22:40~22:49 | 점수:55 | 평균 뽑기:74.5 | 승률:57 | 시뮬 횟수:265
16:10~16:19 | 점수:54 | 평균 뽑기:75.8 | 승률:55.8 | 시뮬 횟수:269
08:30~08:39 | 점수:54 | 평균 뽑기:73.9 | 승률:54.3 | 시뮬 횟수:267
12:40~12:49 | 점수:54 | 평균 뽑기:74.5 | 승률:55.6 | 시뮬 횟수:266
16:20~16:29 | 점수:53 | 평균 뽑기:74.7 | 승률:53.8 | 시뮬 횟수:275
00:20~00:29 | 점수:53 | 평균 뽑기:76.6 | 승률:54.9 | 시뮬 횟수:266
01:20~01:29 | 점수:53 | 평균 뽑기:75.9 | 승률:54.5 | 시뮬 횟수:266
01:40~01:49 | 점수:53 | 평균 뽑기:75.9 | 승률:53.9 | 시뮬 횟수:267
02:10~02:19 | 점수:53 | 평균 뽑기:75.5 | 승률:54.7 | 시뮬 횟수:267
03:30~03:39 | 점수:53 | 평균 뽑기:76.8 | 승률:55.2 | 시뮬 횟수:268


=== [GF2] 캐릭터1 + 무기1 추천 시간대 ===
01:20~01:29 | 점수:55 | 평균 뽑기:64.1 | 승률:68.2 | 시뮬 횟수:266
03:40~03:49 | 점수:53 | 평균 뽑기:64.9 | 승률:66.4 | 시뮬 횟수:265
07:40~07:49 | 점수:53 | 평균 뽑기:64.5 | 승률:65.1 | 시뮬 횟수:268
10:40~10:49 | 점수:53 | 평균 뽑기:65.2 | 승률:66 | 시뮬 횟수:269
16:20~16:29 | 점수:52 | 평균 뽑기:65.2 | 승률:65.6 | 시뮬 횟수:275
16:40~16:49 | 점수:52 | 평균 뽑기:65.3 | 승률:64.8 | 시뮬 횟수:271
19:40~19:49 | 점수:52 | 평균 뽑기:65.3 | 승률:64 | 시뮬 횟수:275
20:10~20:19 | 점수:52 | 평균 뽑기:64.8 | 승률:66.5 | 시뮬 횟수:263
03:00~03:09 | 점수:52 | 평균 뽑기:65.2 | 승률:65.8 | 시뮬 횟수:250
03:20~03:29 | 점수:52 | 평균 뽑기:63.8 | 승률:62.6 | 시뮬 횟수:265


=== [GF2] 캐릭터2 + 무기1 추천 시간대 ===
12:00~12:09 | 점수:54 | 평균 뽑기:62.8 | 승률:69.7 | 시뮬 횟수:261
01:20~01:29 | 점수:52 | 평균 뽑기:65 | 승률:65.4 | 시뮬 횟수:266
05:30~05:39 | 점수:52 | 평균 뽑기:63.6 | 승률:64 | 시뮬 횟수:265
07:50~07:59 | 점수:52 | 평균 뽑기:64.4 | 승률:66.9 | 시뮬 횟수:266
10:30~10:39 | 점수:52 | 평균 뽑기:64.7 | 승률:66 | 시뮬 횟수:266
17:20~17:29 | 점수:51 | 평균 뽑기:65.8 | 승률:65.5 | 시뮬 횟수:277
17:40~17:49 | 점수:51 | 평균 뽑기:66.2 | 승률:65.4 | 시뮬 횟수:273
19:50~19:59 | 점수:51 | 평균 뽑기:64.7 | 승률:63.7 | 시뮬 횟수:271
20:20~20:29 | 점수:51 | 평균 뽑기:65.9 | 승률:65.5 | 시뮬 횟수:271
06:10~06:19 | 점수:51 | 평균 뽑기:65.4 | 승률:64.1 | 시뮬 횟수:266


=== [GF2] 캐릭터4 + 무기1 추천 시간대 ===
19:00~19:09 | 점수:55 | 평균 뽑기:63.4 | 승률:66 | 시뮬 횟수:266
04:40~04:49 | 점수:55 | 평균 뽑기:64 | 승률:66.6 | 시뮬 횟수:268
18:00~18:09 | 점수:53 | 평균 뽑기:65.2 | 승률:66.2 | 시뮬 횟수:262
18:30~18:39 | 점수:53 | 평균 뽑기:65.2 | 승률:64.6 | 시뮬 횟수:274
19:20~19:29 | 점수:53 | 평균 뽑기:63.8 | 승률:63.6 | 시뮬 횟수:275
20:30~20:39 | 점수:53 | 평균 뽑기:65.4 | 승률:66.2 | 시뮬 횟수:263
20:40~20:49 | 점수:53 | 평균 뽑기:65.5 | 승률:64.9 | 시뮬 횟수:265
06:10~06:19 | 점수:53 | 평균 뽑기:63.8 | 승률:64.1 | 시뮬 횟수:266
08:40~08:49 | 점수:53 | 평균 뽑기:64.3 | 승률:65.9 | 시뮬 횟수:261
10:30~10:39 | 점수:53 | 평균 뽑기:65 | 승률:65.6 | 시뮬 횟수:266


=== [GF2] 캐릭터4 추천 시간대 ===
19:00~19:09 | 점수:55 | 평균 뽑기:72.8 | 승률:55.6 | 시뮬 횟수:266
20:30~20:39 | 점수:54 | 평균 뽑기:74.5 | 승률:57 | 시뮬 횟수:263
23:40~23:49 | 점수:54 | 평균 뽑기:72.9 | 승률:55.3 | 시뮬 횟수:264
04:40~04:49 | 점수:54 | 평균 뽑기:73.8 | 승률:55.2 | 시뮬 횟수:268
06:10~06:19 | 점수:54 | 평균 뽑기:72.7 | 승률:54.1 | 시뮬 횟수:266
13:50~13:59 | 점수:54 | 평균 뽑기:74.9 | 승률:55.5 | 시뮬 횟수:265
14:30~14:39 | 점수:54 | 평균 뽑기:74.2 | 승률:56.5 | 시뮬 횟수:262
16:20~16:29 | 점수:53 | 평균 뽑기:74.2 | 승률:54.2 | 시뮬 횟수:275
17:00~17:09 | 점수:53 | 평균 뽑기:73.6 | 승률:54.3 | 시뮬 횟수:265
01:00~01:09 | 점수:52 | 평균 뽑기:75.4 | 승률:55.5 | 시뮬 횟수:254


=== [GF2] 캐릭터7 + 무기1 추천 시간대 ===
23:10~23:19 | 점수:54 | 평균 뽑기:64.1 | 승률:66.2 | 시뮬 횟수:266
23:20~23:29 | 점수:54 | 평균 뽑기:64.9 | 승률:66.2 | 시뮬 횟수:268
06:10~06:19 | 점수:54 | 평균 뽑기:65 | 승률:66.7 | 시뮬 횟수:266
17:10~17:19 | 점수:53 | 평균 뽑기:63.7 | 승률:64.1 | 시뮬 횟수:277
20:40~20:49 | 점수:53 | 평균 뽑기:64.7 | 승률:64.3 | 시뮬 횟수:265
03:40~03:49 | 점수:53 | 평균 뽑기:64.9 | 승률:65.5 | 시뮬 횟수:265
04:40~04:49 | 점수:53 | 평균 뽑기:64.6 | 승률:64.7 | 시뮬 횟수:268
15:40~15:49 | 점수:53 | 평균 뽑기:63.9 | 승률:66.1 | 시뮬 횟수:264
