
=== A캐릭터 추천 시간대 ===
09:50~09:59 | 점수:54 | 평균 뽑기:86 | 승률:55.3 | 시뮬 횟수:447
08:20~08:29 | 점수:53 | 평균 뽑기:90.2 | 승률:56.2 | 시뮬 횟수:502
19:10~19:19 | 점수:53 | 평균 뽑기:88.1 | 승률:53 | 시뮬 횟수:523
16:40~16:49 | 점수:52 | 평균 뽑기:89.6 | 승률:54.4 | 시뮬 횟수:471
02:20~02:29 | 점수:52 | 평균 뽑기:89.5 | 승률:54.2 | 시뮬 횟수:441
21:10~21:19 | 점수:52 | 평균 뽑기:88.8 | 승률:53.4 | 시뮬 횟수:526
20:00~20:09 | 점수:51 | 평균 뽑기:90.7 | 승률:53.7 | 시뮬 횟수:514
02:50~02:59 | 점수:51 | 평균 뽑기:89 | 승률:53.5 | 시뮬 횟수:454
11:00~11:09 | 점수:51 | 평균 뽑기:88.6 | 승률:55.2 | 시뮬 횟수:424
07:50~07:59 | 점수:50 | 평균 뽑기:90.1 | 승률:50.6 | 시뮬 횟수:526


=== AB캐릭터 추천 시간대 ===
20:50~20:59 | 점수:52 | 평균 뽑기:82.8 | 승률:60.2 | 시뮬 횟수:552
08:20~08:29 | 점수:52 | 평균 뽑기:82.4 | 승률:62.2 | 시뮬 횟수:502
07:30~07:39 | 점수:51 | 평균 뽑기:82.7 | 승률:60.5 | 시뮬 횟수:535
19:10~19:19 | 점수:51 | 평균 뽑기:81.7 | 승률:60.2 | 시뮬 횟수:523
18:40~18:49 | 점수:51 | 평균 뽑기:82.6 | 승률:59.7 | 시뮬 횟수:545
07:20~07:29 | 점수:51 | 평균 뽑기:82.4 | 승률:60.1 | 시뮬 횟수:535
06:30~06:39 | 점수:50 | 평균 뽑기:84.7 | 승률:59.6 | 시뮬 횟수:545
07:50~07:59 | 점수:50 | 평균 뽑기:82.7 | 승률:58.8 | 시뮬 횟수:526
08:40~08:49 | 점수:50 | 평균 뽑기:83.8 | 승률:59.9 | 시뮬 횟수:503
16:40~16:49 | 점수:50 | 평균 뽑기:82.6 | 승률:60.2 | 시뮬 횟수:471


=== AB캐릭터 + A무기 추천 시간대 ===
07:30~07:39 | 점수:51 | 평균 뽑기:82.8 | 승률:60.2 | 시뮬 횟수:535
20:50~20:59 | 점수:51 | 평균 뽑기:83.3 | 승률:59.8 | 시뮬 횟수:552
23:40~23:49 | 점수:51 | 평균 뽑기:81.9 | 승률:60.9 | 시뮬 횟수:450
19:10~19:19 | 점수:51 | 평균 뽑기:82.5 | 승률:59.4 | 시뮬 횟수:523
20:20~20:29 | 점수:51 | 평균 뽑기:82.6 | 승률:59.3 | 시뮬 횟수:520
02:20~02:29 | 점수:51 | 평균 뽑기:82.5 | 승률:60.3 | 시뮬 횟수:441
22:20~22:29 | 점수:51 | 평균 뽑기:82.8 | 승률:59.9 | 시뮬 횟수:519
21:10~21:19 | 점수:51 | 평균 뽑기:82.9 | 승률:59.9 | 시뮬 횟수:526
06:30~06:39 | 점수:50 | 평균 뽑기:84.6 | 승률:58.5 | 시뮬 횟수:545
08:40~08:49 | 점수:50 | 평균 뽑기:84.7 | 승률:59.6 | 시뮬 횟수:503


=== AB캐릭터 + AB무기 추천 시간대 ===
07:10~07:19 | 점수:51 | 평균 뽑기:79.5 | 승률:62.4 | 시뮬 횟수:545
18:40~18:49 | 점수:51 | 평균 뽑기:79.2 | 승률:63.1 | 시뮬 횟수:545
22:20~22:29 | 점수:51 | 평균 뽑기:78.9 | 승률:63.9 | 시뮬 횟수:519
06:30~06:39 | 점수:50 | 평균 뽑기:79.9 | 승률:63 | 시뮬 횟수:545
06:50~06:59 | 점수:50 | 평균 뽑기:80.1 | 승률:62.2 | 시뮬 횟수:569
07:30~07:39 | 점수:50 | 평균 뽑기:79.6 | 승률:63 | 시뮬 횟수:535
07:50~07:59 | 점수:50 | 평균 뽑기:79.2 | 승률:62.4 | 시뮬 횟수:526
17:50~17:59 | 점수:50 | 평균 뽑기:80.7 | 승률:62.8 | 시뮬 횟수:541
18:50~18:59 | 점수:50 | 평균 뽑기:79.7 | 승률:61.2 | 시뮬 횟수:557
20:50~20:59 | 점수:50 | 평균 뽑기:79.9 | 승률:63 | 시뮬 횟수:552
