
=== A캐릭터 추천 시간대 ===
14:10~14:19 | 점수:91 | 평균 뽑기:13 | 승률:100 | 시뮬 횟수:1
20:30~20:39 | 점수:76 | 평균 뽑기:57 | 승률:100 | 시뮬 횟수:1
09:00~09:09 | 점수:75 | 평균 뽑기:77 | 승률:100 | 시뮬 횟수:2
06:30~06:39 | 점수:70 | 평균 뽑기:76 | 승률:100 | 시뮬 횟수:1
15:00~15:09 | 점수:70 | 평균 뽑기:76 | 승률:100 | 시뮬 횟수:1
16:00~16:09 | 점수:70 | 평균 뽑기:78 | 승률:100 | 시뮬 횟수:1
06:50~06:59 | 점수:69 | 평균 뽑기:80 | 승률:100 | 시뮬 횟수:1
16:40~16:49 | 점수:69 | 평균 뽑기:79 | 승률:100 | 시뮬 횟수:1
20:00~20:09 | 점수:69 | 평균 뽑기:79 | 승률:100 | 시뮬 횟수:1
07:50~07:59 | 점수:62 | 평균 뽑기:54.5 | 승률:50 | 시뮬 횟수:2


=== AB캐릭터 추천 시간대 ===
20:30~20:39 | 점수:86 | 평균 뽑기:28.5 | 승률:100 | 시뮬 횟수:2
14:10~14:19 | 점수:82 | 평균 뽑기:39 | 승률:100 | 시뮬 횟수:2
06:30~06:39 | 점수:70 | 평균 뽑기:76 | 승률:100 | 시뮬 횟수:2
15:00~15:09 | 점수:70 | 평균 뽑기:76.5 | 승률:100 | 시뮬 횟수:2
16:00~16:09 | 점수:70 | 평균 뽑기:78 | 승률:100 | 시뮬 횟수:2
07:50~07:59 | 점수:69 | 평균 뽑기:65.8 | 승률:75 | 시뮬 횟수:4
08:00~08:09 | 점수:60 | 평균 뽑기:47.5 | 승률:50 | 시뮬 횟수:2
18:50~18:59 | 점수:59 | 평균 뽑기:50 | 승률:50 | 시뮬 횟수:2
20:00~20:09 | 점수:59 | 평균 뽑기:48.5 | 승률:50 | 시뮬 횟수:2
07:30~07:39 | 점수:50 | 평균 뽑기:76.5 | 승률:50 | 시뮬 횟수:2


=== AB캐릭터 + A무기 추천 시간대 ===
14:10~14:19 | 점수:82 | 평균 뽑기:31.7 | 승률:100 | 시뮬 횟수:3
20:30~20:39 | 점수:79 | 평균 뽑기:41 | 승률:100 | 시뮬 횟수:3
18:50~18:59 | 점수:67 | 평균 뽑기:38.7 | 승률:66.7 | 시뮬 횟수:3
15:00~15:09 | 점수:65 | 평균 뽑기:75.3 | 승률:100 | 시뮬 횟수:3
08:00~08:09 | 점수:61 | 평균 뽑기:54 | 승률:66.7 | 시뮬 횟수:3
09:00~09:09 | 점수:57 | 평균 뽑기:75.3 | 승률:66.7 | 시뮬 횟수:6
06:30~06:39 | 점수:55 | 평균 뽑기:67.3 | 승률:66.7 | 시뮬 횟수:3
07:30~07:39 | 점수:53 | 평균 뽑기:73.7 | 승률:66.7 | 시뮬 횟수:3
20:50~20:59 | 점수:52 | 평균 뽑기:74.7 | 승률:66.7 | 시뮬 횟수:3
07:50~07:59 | 점수:47 | 평균 뽑기:82.3 | 승률:50 | 시뮬 횟수:6


=== AB캐릭터 + AB무기 추천 시간대 ===
14:10~14:19 | 점수:68 | 평균 뽑기:42.3 | 승률:75 | 시뮬 횟수:4
18:50~18:59 | 점수:67 | 평균 뽑기:45.3 | 승률:75 | 시뮬 횟수:4
15:00~15:09 | 점수:66 | 평균 뽑기:74 | 승률:100 | 시뮬 횟수:4
09:00~09:09 | 점수:64 | 평균 뽑기:66.4 | 승률:75 | 시뮬 횟수:8
20:30~20:39 | 점수:60 | 평균 뽑기:63.8 | 승률:75 | 시뮬 횟수:4
20:00~20:09 | 점수:58 | 평균 뽑기:44 | 승률:50 | 시뮬 횟수:4
20:50~20:59 | 점수:56 | 평균 뽑기:73 | 승률:75 | 시뮬 횟수:4
06:50~06:59 | 점수:55 | 평균 뽑기:76.3 | 승률:75 | 시뮬 횟수:4
07:50~07:59 | 점수:54 | 평균 뽑기:79 | 승률:62.5 | 시뮬 횟수:8
12:30~12:39 | 점수:52 | 평균 뽑기:85.3 | 승률:75 | 시뮬 횟수:4
